Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
82,CHEVCD_6_UNIT,ngct,PGE_valley,11.5,8.02,8.08,8.15,5,12,1,1,3.17,4.931506849,805.0,CHEVRON USA (TAFT/CADET),Taft 26C Cogen,52085,35.1133,-119.4706,29.0,Kern
46,CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2.0,5.904059041,875.0,AERA ENERGY LLC. (Coalinga),Coalinga 25D Cogen,52086,36.1556,-120.3972,19.0,Fresno
79,CHEVCO_6_UNIT1,ngct,PGE_valley,19.0,8.02,8.08,8.15,7,19,1,1,3.17,7.945205479,1330.0,CHEVRON USA (COALINGA),Coalinga 25D Cogen,52086,36.1556,-120.3972,19.0,Fresno
157,CHINO_6_CIMGEN,ngct,SCE,31.6,6.93,7.0,7.06,12,32,1,1,3.17,13.42465753,2212.0,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,OLS Energy Chino,50850,33.989626,-117.680911,71.0,San Bernardino
74,CHWCHL_1_UNIT,ngct,PGE_valley,48.6,8.71,8.77,8.84,18,49,1,1,3.17,20.54794521,3402.0,CHOW 2 PEAKER PLANT,Chowchilla II,56185,37.1073,-120.2485,39.0,Madera
18,COCOPP_2_CTG1,ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294.0,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station,57267,38.016944,-121.765,13.0,Contra Costa
19,COCOPP_2_CTG2,ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189.0,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station,57267,38.016944,-121.765,13.0,Contra Costa
20,COCOPP_2_CTG3,ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station,57267,38.016944,-121.765,13.0,Contra Costa
21,COCOPP_2_CTG4,ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station,57267,38.016944,-121.765,13.0,Contra Costa
112,COLGA1_6_SHELLW,ngct,PGE_valley,52.9,6.23,6.29,6.36,19,53,1,1,3.17,22.19178082,3703.0,COALINGA COGENERATION,Coalinga Cogeneration Facility,50750,36.170317,-120.364084,19.0,Fresno
169,COLTON_6_AGUAM1,ngct,SCE,43.0,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010.0,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,55951,34.0414,-117.3603,71.0,San Bernardino
114,COLUSA_2_PL1X3,ngct,PGE_valley,641.0,5.31,5.37,5.44,225,641,1,1,3.17,270.1369863,44870.0,Colusa Generating Station,Colusa Generating Station,56532,39.3661,-122.27,11.0,Colusa
126,CORONS_6_CLRWTR,ngcc,SCE,28.0,7.49,7.75,8.02,12,28,4,4,2.0,12.91512915,1960.0,Clearwater Power Plant,Clearwater Power Plant,56356,33.8912,-117.6085,65.0,Riverside
2,CROKET_7_UNIT,ngcc,PGE_bay,240.0,4.36,4.62,4.88,96,240,5,5,2.0,110.25830259999998,16800.0,CROCKETT COGEN,Crockett Cogen Project,55084,38.0569,-122.2161,13.0,Contra Costa
