SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
6666,2018,NC,Starr,62602,Duke Energy Progress - (NC),3046,"Starr Farm, LLC",62100,IPP Non-CHP,Duke Energy Progress West,CPLW,SERC,SRVC,SERC Virginia/Carolina,,37,163,Sampson,35.015398,-78.350802
6667,2018,NC,Statesville Delivery No 3,56552,City of Statesville - (NC),18022,North Carolina Mun Power Agny #1,13630,Electric Utility,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,097,Iredell,35.7972,-80.8542
6668,2018,NC,Statesville Solar,61535,"Duke Energy Carolinas, LLC",5416,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,159,Rowan,35.739704,-80.712405
6669,2018,NC,"Statesville, Highway 64",56062,City of Statesville - (NC),18022,North Carolina Mun Power Agny #1,13630,Electric Utility,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,097,Iredell,35.798462,-80.942709
6670,2018,NC,Stikeleather Farm,59595,"Duke Energy Carolinas, LLC",5416,"Stikeleather Farm, LLC",59340,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,003,Alexander,35.902222,-81.106111
6671,2018,NC,Stone Solar,61085,Duke Energy Progress - (NC),3046,"Stone Solar, LLC",60699,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.583119,-79.031836
6672,2018,NC,"Stony Knoll Solar, LLC",62820,"Duke Energy Carolinas, LLC",5416,"Stony Knoll Solar, LLC",62716,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,171,Surry,36.288,-80.656
6673,2018,NC,Stout Farm,59581,"Duke Energy Carolinas, LLC",5416,"Stout Farm, LLC",59326,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,135,Orange,36.079167,-79.199722
6674,2018,NC,Sugar Run Solar,60189,Virginia Electric & Power Co,19876,"Sugar Run Solar, LLC",59952,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,073,Gates,36.437752,-76.597825
6675,2018,NC,Summit Farms Solar,60611,Virginia Electric & Power Co,19876,Summit Farms LLC,60359,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,053,Currituck,36.4765,-76.136
