,Zone,Time,Value
171,SDGE,28,121.007571539
172,SDGE,29,117.690023313
173,SDGE,30,117.607084608
174,SDGE,31,104.834523938
175,SDGE,32,97.2041630185
176,SDGE,33,95.9600824337
177,SDGE,34,78.8747090704
178,SDGE,35,70.4978998001
179,SDGE,36,74.3960189655
180,SDGE,37,49.9291007996
181,SDGE,38,34.0048693153
182,SDGE,39,32.429033908
183,SDGE,40,28.447976037
184,SDGE,41,15.5924766617
185,SDGE,42,16.0071701899
186,SDGE,43,34.2536854323
187,SDGE,44,52.6660780859
188,SDGE,45,52.3343232633
189,SDGE,46,51.4219975012
190,SDGE,47,74.2301415542
191,SDGE,48,70.8296546227
192,PGE_valley,49,63.1990420247
193,PGE_valley,50,80.106660603
194,PGE_valley,51,68.4485848897
195,PGE_valley,52,64.9034390588
196,PGE_valley,53,63.7444490756
197,PGE_valley,54,60.6083585329
198,PGE_valley,55,66.9487154997
199,PGE_valley,56,61.2219414651
200,PGE_valley,57,50.7910316164
201,PGE_valley,58,40.9737046999
202,PGE_valley,59,31.0200260208
203,PGE_valley,60,25.3614278675
204,PGE_valley,61,28.9065736985
205,PGE_valley,62,35.6559859535
206,PGE_valley,63,39.3374835472
207,PGE_valley,64,64.1535043638
208,PGE_valley,65,82.4928164508
209,PGE_valley,66,88.4922940109
210,PGE_valley,67,91.6283845536
211,PGE_valley,68,90.8102739772
212,PGE_valley,69,96.0598168423
213,PGE_valley,70,98.1732691646
214,PGE_valley,71,94.7644750964
215,PGE_valley,72,88.2877663668
216,PGE_bay,49,118.498203796
217,PGE_bay,50,150.199988631
218,PGE_bay,51,128.341096668
219,PGE_bay,52,121.693948235
220,PGE_bay,53,119.520842017
221,PGE_bay,54,113.640672249
222,PGE_bay,55,125.528841562
223,PGE_bay,56,114.791140247
224,PGE_bay,57,95.2331842807
225,PGE_bay,58,76.8256963124
226,PGE_bay,59,58.1625487889
227,PGE_bay,60,47.5526772516
228,PGE_bay,61,54.1998256846
229,PGE_bay,62,66.8549736629
230,PGE_bay,63,73.757781651
231,PGE_bay,64,120.287820682
232,PGE_bay,65,154.674030845
233,PGE_bay,66,165.92305127
234,PGE_bay,67,171.803221038
235,PGE_bay,68,170.269263707
236,PGE_bay,69,180.112156579
237,PGE_bay,70,184.074879684
238,PGE_bay,71,177.683390806
239,PGE_bay,72,165.539561938
240,SCE,49,446.11088488
241,SCE,50,565.458780727
242,SCE,51,483.166481575
243,SCE,52,458.141922768
244,SCE,53,449.960817004
245,SCE,54,427.823707291
246,SCE,55,472.579168233
247,SCE,56,432.15488093
248,SCE,57,358.524929057
249,SCE,58,289.226150823
250,SCE,59,218.964889558
251,SCE,60,179.021843771
252,SCE,61,204.046402577
253,SCE,62,251.689312613
254,SCE,63,277.676354451
255,SCE,64,452.848266097
256,SCE,65,582.30223377
257,SCE,66,624.651487135
258,SCE,67,646.788596849
259,SCE,68,641.013698663
260,SCE,69,678.069295357
261,SCE,70,692.987782338
262,SCE,71,668.925706563
263,SCE,72,623.207762589
264,SDGE,49,70.8665728586
265,SDGE,50,89.8254833968
266,SDGE,51,76.7530087918
267,SDGE,52,72.7777533564
268,SDGE,53,71.4781506179
269,SDGE,54,67.9615785019
270,SDGE,55,75.0711699537
271,SDGE,56,68.6496034811
272,SDGE,57,56.9531788346
273,SDGE,58,45.9447791672
274,SDGE,59,34.78348506
275,SDGE,60,28.4383658073
276,SDGE,61,32.4136212428
277,SDGE,62,39.9818960141
278,SDGE,63,44.1100458893
279,SDGE,64,71.9368339373
280,SDGE,65,92.5011360937
281,SDGE,66,99.228491446
282,SDGE,67,102.745063562
283,SDGE,68,101.827696923
284,SDGE,69,107.714132856
285,SDGE,70,110.083996674
286,SDGE,71,106.261635678
287,SDGE,72,98.9991497863
288,PGE_valley,73,22.7216719077
289,PGE_valley,74,25.5284666727
290,PGE_valley,75,23.0558141416
291,PGE_valley,76,23.5236132691
292,PGE_valley,77,25.1943244388
293,PGE_valley,78,22.8553288012
294,PGE_valley,79,28.9367174589
295,PGE_valley,80,36.2878466055
296,PGE_valley,81,48.1164816868
297,PGE_valley,82,47.8491678997
298,PGE_valley,83,57.2051504499
299,PGE_valley,84,79.5926801236
300,PGE_valley,85,88.4140350995
301,PGE_valley,86,74.3132328274
302,PGE_valley,87,68.4991579569
303,PGE_valley,88,62.0836270653
304,PGE_valley,89,56.2027237481
305,PGE_valley,90,50.254991984
306,PGE_valley,91,67.0289321276
307,PGE_valley,92,65.4918778515
308,PGE_valley,93,60.4129158957
309,PGE_valley,94,57.9402633645
310,PGE_valley,95,46.3121136236
311,PGE_valley,96,35.485905244
312,PGE_bay,73,42.6031348269
313,PGE_bay,74,47.8658750114
314,PGE_bay,75,43.2296515155
315,PGE_bay,76,44.1067748796
316,PGE_bay,77,47.2393583227
317,PGE_bay,78,42.8537415023
318,PGE_bay,79,54.2563452354
319,PGE_bay,80,68.0397123853
320,PGE_bay,81,90.2184031628
321,PGE_bay,82,89.7171898119
322,PGE_bay,83,107.259657094
323,PGE_bay,84,149.236275232
324,PGE_bay,85,165.776315812
325,PGE_bay,86,139.337311551
326,PGE_bay,87,128.435921169
327,PGE_bay,88,116.406800748
328,PGE_bay,89,105.380107028
329,PGE_bay,90,94.22810997
330,PGE_bay,91,125.679247739
331,PGE_bay,92,122.797270972
332,PGE_bay,93,113.274217304
333,PGE_bay,94,108.637993809
334,PGE_bay,95,86.8352130442
335,PGE_bay,96,66.5360723325
336,SCE,73,160.388272289
337,SCE,74,180.200941219
338,SCE,75,162.746923352
339,SCE,76,166.049034841
340,SCE,77,177.842290156
341,SCE,78,161.331732715
342,SCE,79,204.259182063
343,SCE,80,256.14950545
344,SCE,81,339.645753083
345,SCE,82,337.758832233
346,SCE,83,403.801061999
347,SCE,84,561.830683225
348,SCE,85,624.099071291
349,SCE,86,524.563996429
350,SCE,87,483.523467931
351,SCE,88,438.23736752
352,SCE,89,396.72510881
353,SCE,90,354.741119887
354,SCE,91,473.145403254
355,SCE,92,462.295608363
356,SCE,93,426.444112205
357,SCE,94,408.990094338
358,SCE,95,326.909037343
359,SCE,96,250.488742899
360,SDGE,73,25.4783453376
361,SDGE,74,28.6256703499
362,SDGE,75,25.8530268867
363,SDGE,76,26.3775810554
364,SDGE,77,28.2509888008
365,SDGE,78,25.6282179573
366,SDGE,79,32.4474221506
367,SDGE,80,40.6904162304
368,SDGE,81,53.9541430679
369,SDGE,82,53.6543978287
370,SDGE,83,64.145481203
371,SDGE,84,89.2491449915
372,SDGE,85,99.1407378873
373,SDGE,86,83.329176516
374,SDGE,87,76.809717562
375,SDGE,88,69.6158318196
376,SDGE,89,63.0214365557
377,SDGE,90,56.3521049821
378,SDGE,91,75.161118746
379,SDGE,92,73.4375836202
380,SDGE,93,67.7424240742
381,SDGE,94,64.969780611
382,SDGE,95,51.9308627029
383,SDGE,96,39.7911805126
384,PGE_valley,97,19.1864588134
385,PGE_valley,98,24.2178728379
386,PGE_valley,99,21.8027941062
387,PGE_valley,100,19.5218864151
388,PGE_valley,101,24.5533004396
389,PGE_valley,102,28.5113461388
390,PGE_valley,103,33.4085891227
391,PGE_valley,104,31.3289379926
392,PGE_valley,105,26.2304384477
393,PGE_valley,106,28.2430040575
394,PGE_valley,107,40.7879963586
395,PGE_valley,108,46.6915221474
396,PGE_valley,109,45.6852393425
397,PGE_valley,110,43.8068447733
398,PGE_valley,111,42.7334764481
399,PGE_valley,112,43.941015814
400,PGE_valley,113,42.1297067652
401,PGE_valley,114,39.9829701147
402,PGE_valley,115,44.6118710172
403,PGE_valley,116,48.1674035946
404,PGE_valley,117,48.7040877572
405,PGE_valley,118,39.2450293911
406,PGE_valley,119,37.5008058626
407,PGE_valley,120,39.7146280334
408,PGE_bay,97,35.9746102752
409,PGE_bay,98,45.4085115711
410,PGE_bay,99,40.8802389491
411,PGE_bay,100,36.6035370283
412,PGE_bay,101,46.0374383242
413,PGE_bay,102,53.4587740103
414,PGE_bay,103,62.641104605
415,PGE_bay,104,58.7417587361
416,PGE_bay,105,49.1820720895
417,PGE_bay,106,52.9556326079
418,PGE_bay,107,76.4774931724
419,PGE_bay,108,87.5466040263
420,PGE_bay,109,85.6598237671
421,PGE_bay,110,82.13783395
422,PGE_bay,111,80.1252683402
423,PGE_bay,112,82.3894046512
424,PGE_bay,113,78.9932001847
425,PGE_bay,114,74.9680689651
426,PGE_bay,115,83.6472581573
427,PGE_bay,116,90.3138817398
428,PGE_bay,117,91.3201645447
429,PGE_bay,118,73.5844301083
430,PGE_bay,119,70.3140109924
431,PGE_bay,120,74.4649275626
432,SCE,97,135.433826918
433,SCE,98,170.949690621
434,SCE,99,153.902076044
435,SCE,100,137.801551165
436,SCE,101,173.317414868
437,SCE,102,201.25656098
438,SCE,103,235.825334984
439,SCE,104,221.145444653
440,SCE,105,185.156036102
441,SCE,106,199.362381583
442,SCE,107,287.915268414
443,SCE,108,329.587215158
444,SCE,109,322.484042417
445,SCE,110,309.224786635
446,SCE,111,301.648069045
447,SCE,112,310.171876334
