,Constraint,Time,Value
162,Bal3Constraint,43,46.403
163,Bal3Constraint,44,46.403
164,Bal3Constraint,45,46.403
165,Bal3Constraint,46,46.403
166,Bal3Constraint,47,46.403
167,Bal3Constraint,48,37.8572
168,Bal4Constraint,25,47.549
169,Bal4Constraint,26,46.9154
170,Bal4Constraint,27,46.3868
171,Bal4Constraint,28,46.1636
172,Bal4Constraint,29,46.1636
173,Bal4Constraint,30,46.1636
174,Bal4Constraint,31,46.655
175,Bal4Constraint,32,47.2361
176,Bal4Constraint,33,46.9232
177,Bal4Constraint,34,47.2361
178,Bal4Constraint,35,46.9232
179,Bal4Constraint,36,46.3868
180,Bal4Constraint,37,46.4762
181,Bal4Constraint,38,46.655
182,Bal4Constraint,39,46.655
183,Bal4Constraint,40,47.3258
184,Bal4Constraint,41,50.5808
185,Bal4Constraint,42,56.363
186,Bal4Constraint,43,56.363
187,Bal4Constraint,44,56.9441
188,Bal4Constraint,45,56.9441
189,Bal4Constraint,46,56.363
190,Bal4Constraint,47,56.363
191,Bal4Constraint,48,47.8172
192,Bal1Constraint,49,32.3832
193,Bal1Constraint,50,32.3832
194,Bal1Constraint,51,32.3832
195,Bal1Constraint,52,32.3832
196,Bal1Constraint,53,32.3832
197,Bal1Constraint,54,32.3832
198,Bal1Constraint,55,32.3832
199,Bal1Constraint,56,32.3832
200,Bal1Constraint,57,32.3832
201,Bal1Constraint,58,32.3832
202,Bal1Constraint,59,32.3832
203,Bal1Constraint,60,32.3832
204,Bal1Constraint,61,32.3832
205,Bal1Constraint,62,32.3832
206,Bal1Constraint,63,32.3832
207,Bal1Constraint,64,32.3832
208,Bal1Constraint,65,32.3832
209,Bal1Constraint,66,32.3832
210,Bal1Constraint,67,32.3832
211,Bal1Constraint,68,32.3832
212,Bal1Constraint,69,32.3832
213,Bal1Constraint,70,32.3832
214,Bal1Constraint,71,32.3832
215,Bal1Constraint,72,32.3832
216,Bal2Constraint,49,32.3832
217,Bal2Constraint,50,32.3832
218,Bal2Constraint,51,32.3832
219,Bal2Constraint,52,32.3832
220,Bal2Constraint,53,32.3832
221,Bal2Constraint,54,32.3832
222,Bal2Constraint,55,32.3832
223,Bal2Constraint,56,32.3832
224,Bal2Constraint,57,32.3832
225,Bal2Constraint,58,32.3832
226,Bal2Constraint,59,32.3832
227,Bal2Constraint,60,32.3832
228,Bal2Constraint,61,32.3832
229,Bal2Constraint,62,32.3832
230,Bal2Constraint,63,32.3832
231,Bal2Constraint,64,32.3832
232,Bal2Constraint,65,32.3832
233,Bal2Constraint,66,32.3832
234,Bal2Constraint,67,32.3832
235,Bal2Constraint,68,32.3832
236,Bal2Constraint,69,32.3832
237,Bal2Constraint,70,32.3832
238,Bal2Constraint,71,32.3832
239,Bal2Constraint,72,32.3832
240,Bal3Constraint,49,38.0932
241,Bal3Constraint,50,37.589
242,Bal3Constraint,51,37.589
243,Bal3Constraint,52,37.589
244,Bal3Constraint,53,37.69895
245,Bal3Constraint,54,37.589
246,Bal3Constraint,55,37.8572
247,Bal3Constraint,56,38.0932
248,Bal3Constraint,57,37.68615
249,Bal3Constraint,58,37.3658
250,Bal3Constraint,59,37.71505
251,Bal3Constraint,60,37.71505
252,Bal3Constraint,61,37.71505
253,Bal3Constraint,62,37.589
254,Bal3Constraint,63,37.7234
255,Bal3Constraint,64,38.0932
256,Bal3Constraint,65,38.0932
257,Bal3Constraint,66,38.0932
258,Bal3Constraint,67,38.0932
259,Bal3Constraint,68,38.0932
260,Bal3Constraint,69,38.0932
261,Bal3Constraint,70,38.0932
262,Bal3Constraint,71,38.0932
263,Bal3Constraint,72,38.0932
264,Bal4Constraint,49,48.0532
265,Bal4Constraint,50,47.549
266,Bal4Constraint,51,47.549
267,Bal4Constraint,52,47.549
268,Bal4Constraint,53,47.65895
269,Bal4Constraint,54,47.549
270,Bal4Constraint,55,47.8172
271,Bal4Constraint,56,48.0532
272,Bal4Constraint,57,47.64615
273,Bal4Constraint,58,47.3258
274,Bal4Constraint,59,47.67505
275,Bal4Constraint,60,47.67505
276,Bal4Constraint,61,47.67505
277,Bal4Constraint,62,47.549
278,Bal4Constraint,63,47.6834
279,Bal4Constraint,64,48.0532
280,Bal4Constraint,65,48.0532
281,Bal4Constraint,66,48.0532
282,Bal4Constraint,67,56.9441
283,Bal4Constraint,68,56.9441
284,Bal4Constraint,69,56.6759
285,Bal4Constraint,70,56.6759
286,Bal4Constraint,71,56.6759
287,Bal4Constraint,72,48.0532
288,Bal1Constraint,73,38.8656
289,Bal1Constraint,74,38.8656
290,Bal1Constraint,75,38.8656
291,Bal1Constraint,76,38.8656
292,Bal1Constraint,77,38.8656
293,Bal1Constraint,78,38.8656
294,Bal1Constraint,79,38.8656
295,Bal1Constraint,80,38.8656
296,Bal1Constraint,81,38.8656
297,Bal1Constraint,82,38.8656
298,Bal1Constraint,83,38.8656
299,Bal1Constraint,84,38.8656
300,Bal1Constraint,85,38.8656
301,Bal1Constraint,86,38.8656
302,Bal1Constraint,87,38.8656
303,Bal1Constraint,88,38.8656
304,Bal1Constraint,89,38.8656
305,Bal1Constraint,90,38.8656
306,Bal1Constraint,91,38.8656
307,Bal1Constraint,92,38.8656
308,Bal1Constraint,93,38.8656
309,Bal1Constraint,94,38.8656
310,Bal1Constraint,95,38.8656
311,Bal1Constraint,96,38.8656
312,Bal2Constraint,73,38.8656
313,Bal2Constraint,74,38.8656
314,Bal2Constraint,75,38.8656
315,Bal2Constraint,76,38.8656
316,Bal2Constraint,77,38.8656
317,Bal2Constraint,78,38.8656
318,Bal2Constraint,79,38.8656
319,Bal2Constraint,80,38.8656
320,Bal2Constraint,81,38.8656
321,Bal2Constraint,82,38.8656
322,Bal2Constraint,83,38.8656
323,Bal2Constraint,84,38.8656
324,Bal2Constraint,85,38.8656
325,Bal2Constraint,86,38.8656
326,Bal2Constraint,87,38.8656
327,Bal2Constraint,88,38.8656
328,Bal2Constraint,89,38.8656
329,Bal2Constraint,90,38.8656
330,Bal2Constraint,91,38.8656
331,Bal2Constraint,92,38.8656
332,Bal2Constraint,93,38.8656
333,Bal2Constraint,94,38.8656
334,Bal2Constraint,95,38.8656
335,Bal2Constraint,96,38.8656
336,Bal3Constraint,73,39.7793
337,Bal3Constraint,74,37.2761
338,Bal3Constraint,75,36.695
339,Bal3Constraint,76,36.695
340,Bal3Constraint,77,36.695
341,Bal3Constraint,78,36.695
342,Bal3Constraint,79,37.589
343,Bal3Constraint,80,44.5756
344,Bal3Constraint,81,44.5756
345,Bal3Constraint,82,44.5756
346,Bal3Constraint,83,40.4945
347,Bal3Constraint,84,37.8572
348,Bal3Constraint,85,37.589
349,Bal3Constraint,86,37.8572
350,Bal3Constraint,87,39.0194
351,Bal3Constraint,88,44.5756
352,Bal3Constraint,89,44.5756
353,Bal3Constraint,90,44.5756
354,Bal3Constraint,91,44.5756
355,Bal3Constraint,92,44.5756
356,Bal3Constraint,93,44.5756
357,Bal3Constraint,94,44.5756
358,Bal3Constraint,95,44.5756
359,Bal3Constraint,96,44.5756
360,Bal4Constraint,73,49.7393
361,Bal4Constraint,74,47.2361
362,Bal4Constraint,75,46.655
363,Bal4Constraint,76,46.655
364,Bal4Constraint,77,46.655
365,Bal4Constraint,78,46.655
366,Bal4Constraint,79,47.549
367,Bal4Constraint,80,54.5356
368,Bal4Constraint,81,54.5356
369,Bal4Constraint,82,54.5356
370,Bal4Constraint,83,50.4545
371,Bal4Constraint,84,47.8172
372,Bal4Constraint,85,47.549
373,Bal4Constraint,86,47.8172
374,Bal4Constraint,87,48.9794
375,Bal4Constraint,88,54.5356
376,Bal4Constraint,89,54.5356
377,Bal4Constraint,90,54.5356
378,Bal4Constraint,91,60.2711
379,Bal4Constraint,92,56.9441
380,Bal4Constraint,93,56.6759
381,Bal4Constraint,94,56.6759
382,Bal4Constraint,95,56.363
383,Bal4Constraint,96,54.5356
384,Bal1Constraint,97,38.6276
385,Bal1Constraint,98,38.6276
386,Bal1Constraint,99,38.6276
387,Bal1Constraint,100,38.6276
388,Bal1Constraint,101,38.6276
389,Bal1Constraint,102,38.6276
390,Bal1Constraint,103,38.6276
391,Bal1Constraint,104,38.6276
392,Bal1Constraint,105,38.6276
393,Bal1Constraint,106,38.6276
394,Bal1Constraint,107,38.6276
395,Bal1Constraint,108,38.6276
396,Bal1Constraint,109,38.6276
397,Bal1Constraint,110,38.6276
398,Bal1Constraint,111,38.6276
399,Bal1Constraint,112,38.6276
400,Bal1Constraint,113,38.6276
401,Bal1Constraint,114,38.6276
402,Bal1Constraint,115,38.6276
403,Bal1Constraint,116,38.6276
404,Bal1Constraint,117,38.6276
405,Bal1Constraint,118,38.6276
406,Bal1Constraint,119,38.6276
407,Bal1Constraint,120,38.6276
408,Bal2Constraint,97,38.6276
409,Bal2Constraint,98,38.6276
410,Bal2Constraint,99,38.6276
411,Bal2Constraint,100,38.6276
412,Bal2Constraint,101,38.6276
413,Bal2Constraint,102,38.6276
414,Bal2Constraint,103,38.6276
415,Bal2Constraint,104,38.6276
416,Bal2Constraint,105,38.6276
417,Bal2Constraint,106,38.6276
418,Bal2Constraint,107,38.6276
419,Bal2Constraint,108,38.6276
420,Bal2Constraint,109,38.6276
421,Bal2Constraint,110,38.6276
422,Bal2Constraint,111,38.6276
423,Bal2Constraint,112,38.6276
424,Bal2Constraint,113,38.6276
425,Bal2Constraint,114,38.6276
426,Bal2Constraint,115,38.6276
427,Bal2Constraint,116,38.6276
428,Bal2Constraint,117,38.6276
429,Bal2Constraint,118,38.6276
430,Bal2Constraint,119,38.6276
431,Bal2Constraint,120,38.6276
432,Bal3Constraint,97,37.589
433,Bal3Constraint,98,37.2761
434,Bal3Constraint,99,36.972425
435,Bal3Constraint,100,36.972425
436,Bal3Constraint,101,36.972425
437,Bal3Constraint,102,36.972425
438,Bal3Constraint,103,37.3658
439,Bal3Constraint,104,37.51415
440,Bal3Constraint,105,37.4177
441,Bal3Constraint,106,36.9554
442,Bal3Constraint,107,36.5612
443,Bal3Constraint,108,36.9554
444,Bal3Constraint,109,36.695
445,Bal3Constraint,110,36.9554
446,Bal3Constraint,111,36.3821
447,Bal3Constraint,112,36.695
448,Bal3Constraint,113,37.8572
449,Bal3Constraint,114,38.7959
450,Bal3Constraint,115,44.3376
451,Bal3Constraint,116,44.3376
452,Bal3Constraint,117,44.3376
453,Bal3Constraint,118,44.3376
454,Bal3Constraint,119,39.4586
455,Bal3Constraint,120,37.43255
456,Bal4Constraint,97,47.549
457,Bal4Constraint,98,47.2361
458,Bal4Constraint,99,46.932425
459,Bal4Constraint,100,46.932425
460,Bal4Constraint,101,46.932425
461,Bal4Constraint,102,46.932425
462,Bal4Constraint,103,47.3258
463,Bal4Constraint,104,47.47415
464,Bal4Constraint,105,47.3777
465,Bal4Constraint,106,46.9154
466,Bal4Constraint,107,46.5212
467,Bal4Constraint,108,46.9154
468,Bal4Constraint,109,46.655
469,Bal4Constraint,110,46.9154
470,Bal4Constraint,111,46.3421
471,Bal4Constraint,112,46.655
472,Bal4Constraint,113,47.8172
473,Bal4Constraint,114,56.9441
474,Bal4Constraint,115,100000000.0
475,Bal4Constraint,116,100000000.0
476,Bal4Constraint,117,100000000.0
477,Bal4Constraint,118,90.1562
478,Bal4Constraint,119,56.6759
479,Bal4Constraint,120,47.6834
480,Bal1Constraint,121,37.9802
481,Bal1Constraint,122,37.9802
482,Bal1Constraint,123,37.9802
483,Bal1Constraint,124,37.9802
484,Bal1Constraint,125,37.9802
485,Bal1Constraint,126,37.9802
486,Bal1Constraint,127,37.9802
487,Bal1Constraint,128,37.9802
488,Bal1Constraint,129,37.9802
489,Bal1Constraint,130,37.9802
490,Bal1Constraint,131,37.9802
491,Bal1Constraint,132,37.9802
492,Bal1Constraint,133,37.9802
493,Bal1Constraint,134,37.9802
494,Bal1Constraint,135,37.9802
495,Bal1Constraint,136,37.9802
496,Bal1Constraint,137,37.9802
497,Bal1Constraint,138,37.9802
498,Bal1Constraint,139,37.9802
499,Bal1Constraint,140,37.9802
500,Bal1Constraint,141,37.9802
501,Bal1Constraint,142,37.9802
502,Bal1Constraint,143,37.9802
503,Bal1Constraint,144,37.9802
504,Bal2Constraint,121,37.9802
505,Bal2Constraint,122,37.9802
506,Bal2Constraint,123,37.9802
507,Bal2Constraint,124,37.9802
508,Bal2Constraint,125,37.9802
509,Bal2Constraint,126,37.9802
510,Bal2Constraint,127,37.9802
511,Bal2Constraint,128,37.9802
512,Bal2Constraint,129,37.9802
513,Bal2Constraint,130,37.9802
514,Bal2Constraint,131,37.9802
515,Bal2Constraint,132,37.9802
516,Bal2Constraint,133,37.9802
517,Bal2Constraint,134,37.9802
518,Bal2Constraint,135,37.9802
519,Bal2Constraint,136,37.9802
520,Bal2Constraint,137,37.9802
521,Bal2Constraint,138,37.9802
522,Bal2Constraint,139,37.9802
523,Bal2Constraint,140,37.9802
524,Bal2Constraint,141,37.9802
525,Bal2Constraint,142,37.9802
526,Bal2Constraint,143,37.9802
527,Bal2Constraint,144,37.9802
528,Bal3Constraint,121,36.95696
529,Bal3Constraint,122,36.9554
530,Bal3Constraint,123,36.9554
531,Bal3Constraint,124,36.9554
532,Bal3Constraint,125,36.9554
