name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
SNCLRA_2_HOWLNG,ngct,SCE,13,7.273482637,7.403532161,7.468556923,5,13,1,1,3.17,5.479452055,910,23.23501367,162.27324,0.559395,2.059592
SNCLRA_6_OXGEN,ngct,SCE,48.9,5.588069576,5.7181191,5.783143862,18,49,1,1,3.17,20.54794521,3423,19.00121873,15.37353,0.447516,2.059592
SRINTL_6_UNIT,ngct,PGE_bay,6.9,3.984974133,4.115023657,4.18004842,3,7,1,1,3.17,2.904109589,483,14.9741244,15.283994,0.4126325,3.549797
STIGCT_2_LODI,ngct,PGE_valley,49.9,5.120630449,5.250679973,5.315704735,18,50,1,1,3.17,21.09589041,3493,26.84922257,0.878458774,0.152550563,3.38229
SUNRIS_2_PL1X3,ngcc,PGE_valley,586.02,5.349169863,5.871061343,6.132007082,235,587,4,4,2,269.3726937,41021.4,17.15896357,0.246832598,0.024684007,1.414905
SUNSET_2_UNITS,ngct,PGE_valley,248,3.146502684,3.276552208,3.34157697,87,248,1,1,3.17,104.6575342,17360,12.86783275,8.98524,0.097984,1.413492
SYCAMR_2_UNIT1,ngct,SCE,85,4.026534322,4.156583846,4.221608609,30,85,1,1,3.17,35.89041096,5950,15.07852776,10.5792125,0.116356,1.413492
SYCAMR_2_UNIT2,ngct,SCE,85,4.026534322,4.156583846,4.221608609,30,85,1,1,3.17,35.89041096,5950,15.07852776,10.5792125,0.116356,1.413492
SYCAMR_2_UNIT3,ngct,SCE,85,4.026534322,4.156583846,4.221608609,30,85,1,1,3.17,35.89041096,5950,15.07852776,10.5792125,0.116356,1.413492
SYCAMR_2_UNIT4,ngct,SCE,85,4.026534322,4.156583846,4.221608609,30,85,1,1,3.17,35.89041096,5950,15.07852776,10.5792125,0.116356,1.413492
TANHIL_6_SOLART,ngct,PGE_valley,17,4.553031717,4.683081241,4.748106003,6,17,1,1,3.17,7.123287671,1190,16.40112797,11.4527775,0.128604,1.413492
