name,typ,zone,netcap,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),NOX_lbs_MD ($/lb),SO2_lbs_MD ($/lb),PM_MD_KWH ($/MWh)
CHEVCD_6_UNIT,ngct,PGE_valley,11.5,Taft 26C Cogen,52085,35.1133,-119.4706,29,Kern,608.026,1.619,0.017,13.06709746,9.1837775,0.104108,1.413492,5.6725,6.124,1.413492
CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,Coalinga 25D Cogen,52086,36.1556,-120.3972,19,Fresno,603.19,1.595,0.016,12.9631669,8.8833525,0.23004,1.25732,5.5695,14.3775,1.25732
CHEVCO_6_UNIT1,ngct,PGE_valley,19,Coalinga 25D Cogen,52086,36.1556,-120.3972,19,Fresno,603.19,1.595,0.016,12.9631669,8.8833525,0.23004,1.25732,5.5695,14.3775,1.25732
CHINO_6_CIMGEN,ngct,SCE,31.6,OLS Energy Chino,50850,33.989626,-117.680911,71,San Bernardino,793.694,2.101,0.022,17.05729171,12.948463,0.167035,1.338059,6.163,7.5925,1.338059
CHWCHL_1_UNIT,ngct,PGE_valley,48.6,Chowchilla II,56185,37.1073,-120.2485,39,Madera,1212.29,28.145,0.033,26.05334571,123.4397483,0.3841365,1.163148,4.38585,11.6405,1.163148
COCOPP_2_CTG1,ngct,PGE_bay,204.2,Marsh Landing Generating Station,57267,38.016944,-121.765,13,Contra Costa,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,14.8785,35.664,7.069397
COCOPP_2_CTG2,ngct,PGE_bay,202.7,Marsh Landing Generating Station,57267,38.016944,-121.765,13,Contra Costa,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,14.8785,35.664,7.069397
COCOPP_2_CTG3,ngct,PGE_bay,208.96,Marsh Landing Generating Station,57267,38.016944,-121.765,13,Contra Costa,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,14.8785,35.664,7.069397
COCOPP_2_CTG4,ngct,PGE_bay,204.29,Marsh Landing Generating Station,57267,38.016944,-121.765,13,Contra Costa,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,14.8785,35.664,7.069397
COLGA1_6_SHELLW,ngct,PGE_valley,52.9,Coalinga Cogeneration Facility,50750,36.170317,-120.364084,19,Fresno,634.565,1.701,0.017,13.63744758,9.4737195,0.2444175,1.25732,5.5695,14.3775,1.25732
COLTON_6_AGUAM1,ngct,SCE,43,Agua Mansa Power,55951,34.0414,-117.3603,71,San Bernardino,1307.45,0.209,0.008,28.09843095,1.288067,0.06074,1.339397,6.163,7.5925,1.339397
COLUSA_2_PL1X3,ngct,PGE_valley,641,Colusa Generating Station,56532,39.3661,-122.27,11,Colusa,858.08,0.033,0.004,18.44101237,0.14220855,0.048442,1.192814,4.30935,12.1105,1.192814
CORONS_6_CLRWTR,ngcc,SCE,28,Clearwater Power Plant,56356,33.8912,-117.6085,65,Riverside,825.417,2.183,0.023,17.73905127,21.650994,0.804517,2.937772,9.918,34.979,2.937772
CROKET_7_UNIT,ngcc,PGE_bay,240,Crockett Cogen Project,55084,38.0569,-122.2161,13,Contra Costa,700.02,1.839,0.019,15.04414213,27.3615615,0.677616,7.062336,14.8785,35.664,7.062336
CSCCOG_1_UNIT_1,ngct,PGE_bay,7,Santa Clara Cogen,7232,37.364297,-121.944238,85,Santa Clara,1060.38,2.81,0.029,22.78864523,31.701015,0.8846015,4.542792,11.2815,30.5035,4.542792
CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,Gianera,7231,37.401,-121.96867,85,Santa Clara,1709.5,4.531,0.047,36.73889457,51.1164765,1.4336645,4.542792,11.2815,30.5035,4.542792
CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,Gianera,7231,37.401,-121.96867,85,Santa Clara,1709.5,4.531,0.047,36.73889457,51.1164765,1.4336645,4.542792,11.2815,30.5035,4.542792
DELTA_2_PL1X4,ngcc,PGE_bay,880,"Delta Energy Center, LLC",55333,38.0169,-121.8439,13,Contra Costa,851.165,0.054,0.004,18.29240199,0.803439,0.142656,7.069397,14.8785,35.664,7.069397
DEXZEL_1_UNIT,ngct,PGE_valley,36.8,Western Power & Steam Inc,54410,35.440539,-119.012861,29,Kern,846.22,2.239,0.023,18.1861289,12.7007275,0.140852,1.413492,5.6725,6.124,1.413492
DISCOV_1_CHEVRN,ngct,PGE_valley,56.2,Kern River Eastridge Cogen,52107,35.4406,-118.9617,29,Kern,583.424,1.544,0.016,12.53837545,8.75834,0.097984,1.413492,5.6725,6.124,1.413492
DIVSON_6_NSQF,ngcc,SDGE,47,Naval Station Energy Facility,10811,32.679269,-117.122447,73,San Diego,1217.88,3.187,0.033,26.1734805,43.891364,1.3997445,4.553406,13.772,42.4165,4.553406
DOUBLC_1_UNITS,ngct,PGE_valley,52.23,Double C Generation Limited Partnership,50493,35.5005,-119.046,29,Kern,1209.93,3.185,0.033,26.00262691,18.0669125,0.202092,1.413492,5.6725,6.124,1.413492
DREWS_6_PL1X4,ngct,SCE,41.4,Drews Generating Facility,55935,34.0609,-117.3532,71,San Bernardino,2510.18,6.734,0.069,53.94632253,41.501642,0.5238825,1.338059,6.163,7.5925,1.338059
DUANE_1_PL1X3,ngcc,PGE_bay,147.8,Donald Von Raesfeld,56026,37.3767,-121.9508,85,Santa Clara,944.164,0.049,0.005,20.29104513,0.5527935,0.1525175,4.547334,11.2815,30.5035,4.547334
ELCAJN_6_LM6K,ngct,SDGE,48.1,El Cajon Energy Center,57001,32.796106,-116.972073,73,San Diego,1333.63,0.133,0.007,28.66106579,1.831676,0.2969155,4.557959,13.772,42.4165,4.557959
ELCAJN_6_UNITA1,ngct,SDGE,45.42,Cuyamaca Peak Energy,55512,32.796491,-116.972071,73,San Diego,1328.75,0.128,0.007,28.55618962,1.762816,0.2969155,4.557959,13.772,42.4165,4.557959
ELCAJN_7_GT1,ngct,SDGE,16.36,El Cajon,301,32.7958,-116.9722,73,San Diego,2228.1,0,0,47.88413629,0,0,4.553406,13.772,42.4165,4.553406
ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,Elk Hills Power,55400,35.280318,-119.470707,29,Kern,666.686,0.03,0.003,14.32776055,0.170175,0.018372,1.414905,5.6725,6.124,1.414905
ELSEGN_2_UN1011,ngcc,SCE,263,El Segundo,330,33.910556,-118.425,37,Los Angeles,1013.95,0.042,0.005,21.79081728,1.867803,0.42335,12.63779,44.4715,84.67,12.63779
ELSEGN_2_UN2021,ngcc,SCE,263.68,El Segundo,330,33.910556,-118.425,37,Los Angeles,1013.95,0.042,0.005,21.79081728,1.867803,0.42335,12.63779,44.4715,84.67,12.63779
ESCNDO_6_PL1X2,ngct,SDGE,48.71,"Escondido Energy Center, LLC",55538,33.1261,-117.1172,73,San Diego,1248.42,0.093,0.006,26.82981618,1.280796,0.254499,4.557959,13.772,42.4165,4.557959
ESCNDO_6_UNITB1,ngct,SDGE,48.04,CalPeak Power - Enterprise,55513,33.121943,-117.117441,73,San Diego,1266.86,0.147,0.007,27.22611054,2.024484,0.2969155,4.557959,13.772,42.4165,4.557959
ESCO_6_GLMQF,ngct,SDGE,49.9,Goal Line,54749,33.1185,-117.0995,73,San Diego,879.319,0.108,0.004,18.8974601,1.487376,0.169666,4.557959,13.772,42.4165,4.557959
ETIWND_2_UNIT1,ngct,SCE,33.6,New-Indy Ontario Mill,10427,34.045361,-117.540193,71,San Bernardino,672.329,1.779,0.018,14.44903436,10.963977,0.136665,1.338059,6.163,7.5925,1.338059
ETIWND_6_GRPLND,ngct,SCE,46,Grapeland Generating Station,56472,34.0903,-117.5343,71,San Bernardino,1523.8,0.178,0.008,32.7480126,1.097014,0.06074,1.339397,6.163,7.5925,1.339397
ETIWND_7_UNIT3,ngst,SCE,320,Etiwanda Generating Station,331,34.09118,-117.52663,71,San Bernardino,2124.81,0.1036343,0.0107279,45.66432908,0.638698191,0.081451581,1.339397,6.163,7.5925,1.339397
ETIWND_7_UNIT4,ngst,SCE,320,Etiwanda Generating Station,331,34.09118,-117.52663,71,San Bernardino,1959.332,0.0915456,0.0098918,42.10803848,0.564195533,0.075103492,1.339397,6.163,7.5925,1.339397
FRITO_1_LAY,ngct,PGE_valley,6,Frito-Lay Cogen Plant,10110,35.395063,-119.321633,29,Kern,823.956,2.207,0.023,17.70765289,12.5192075,0.140852,1.413492,5.6725,6.124,1.413492
GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,Gateway Generating Station,56476,38.0175,-121.7587,13,Contra Costa,874.837,0.047,0.004,18.80113735,0.6992895,0.142656,7.069397,14.8785,35.664,7.069397
GILROY_1_UNIT,ngcc,PGE_bay,120,"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85,Santa Clara,1404.61,0.366,0.007,30.18649822,4.129029,0.2135245,4.547334,11.2815,30.5035,4.547334
GILRPP_1_PL1X2,ngct,PGE_bay,95.4,"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85,Santa Clara,1404.61,0.366,0.007,30.18649822,4.129029,0.2135245,4.547334,11.2815,30.5035,4.547334
GILRPP_1_PL3X4,ngct,PGE_bay,46.2,"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85,Santa Clara,1404.61,0.366,0.007,30.18649822,4.129029,0.2135245,4.547334,11.2815,30.5035,4.547334
GLNARM_7_UNIT1,ngct,SCE,22.07,Glenarm,422,34.126,-118.1494,37,Los Angeles,869.306,0.137,0.004,18.68227054,6.0925955,0.33868,12.63779,44.4715,84.67,12.63779
GLNARM_7_UNIT2,ngct,SCE,22.3,Glenarm,422,34.126,-118.1494,37,Los Angeles,869.306,0.137,0.004,18.68227054,6.0925955,0.33868,12.63779,44.4715,84.67,12.63779
GLNARM_7_UNIT3,ngct,SCE,44.83,Glenarm,422,34.126,-118.1494,37,Los Angeles,869.306,0.137,0.004,18.68227054,6.0925955,0.33868,12.63779,44.4715,84.67,12.63779
GLNARM_7_UNIT4,ngct,SCE,42.42,Glenarm,422,34.126,-118.1494,37,Los Angeles,869.306,0.137,0.004,18.68227054,6.0925955,0.33868,12.63779,44.4715,84.67,12.63779
GOLETA_6_ELLWOD,ngct,SCE,54,Ellwood,8076,34.431419,-119.900055,83,Santa Barbara,1688.83,4.446,0.046,36.29467524,26.402571,0.836119,1.453057,5.9385,18.1765,1.453057
GOLETA_6_EXGEN,ngct,SCE,48.2,ExxonMobil Santa Ynez Facility,50270,34.464819,-120.044365,83,Santa Barbara,1223,3.2,0,26.28351451,19.0032,0,1.453057,5.9385,18.1765,1.453057
GOLETA_6_GAVOTA,ngct,SCE,9.9,Gaviota Oil Plant,50623,34.475067,-120.205107,83,Santa Barbara,891.9,2.3,0,19.16783859,13.65855,0,1.453057,5.9385,18.1765,1.453057
GRNLF1_1_UNITS,ngcc,PGE_valley,49.5,Greenleaf One,10350,39.052922,-121.696072,101,Sutter,808.908,0.758,0.004,17.38425606,2.9870506,0.044838,1.172481,3.9407,11.2095,1.172481
GRNLF2_1_UNIT,ngct,PGE_valley,63.75,Greenleaf One,10350,39.052922,-121.696072,101,Sutter,808.908,0.758,0.004,17.38425606,2.9870506,0.044838,1.172481,3.9407,11.2095,1.172481
