,Zone,Time,Value
183,SDGE,40,218.307203633
184,SDGE,41,38.3836841553
185,SDGE,42,38.5682210983
186,SDGE,43,37.8300733261
187,SDGE,44,37.645536383
188,SDGE,45,34.8774822372
189,SDGE,46,9.78045798187
190,SDGE,47,0.0
191,SDGE,48,0.0
192,PGE_valley,49,0.0
193,PGE_valley,50,0.0
194,PGE_valley,51,0.0
195,PGE_valley,52,0.0
196,PGE_valley,53,0.0
197,PGE_valley,54,0.0
198,PGE_valley,55,0.0
199,PGE_valley,56,130.736101182
200,PGE_valley,57,724.86899936
201,PGE_valley,58,1153.34313919
202,PGE_valley,59,1097.82506883
203,PGE_valley,60,1130.9568205
204,PGE_valley,61,1067.3796754
205,PGE_valley,62,1044.54563033
206,PGE_valley,63,770.537089499
207,PGE_valley,64,374.299248589
208,PGE_valley,65,62.6816923474
209,PGE_valley,66,0.0
210,PGE_valley,67,0.0
211,PGE_valley,68,0.0
212,PGE_valley,69,0.0
213,PGE_valley,70,0.0
214,PGE_valley,71,0.0
215,PGE_valley,72,0.0
216,PGE_bay,49,0.0
217,PGE_bay,50,0.0
218,PGE_bay,51,0.0
219,PGE_bay,52,0.0
220,PGE_bay,53,0.0
221,PGE_bay,54,0.0
222,PGE_bay,55,0.0
223,PGE_bay,56,1.34676639905
224,PGE_bay,57,7.46717397281
225,PGE_bay,58,11.8810624793
226,PGE_bay,59,11.3091479811
227,PGE_bay,60,11.6504517945
228,PGE_bay,61,10.9955174498
229,PGE_bay,62,10.7602945513
230,PGE_bay,63,7.93761976973
231,PGE_bay,64,3.85581064933
232,PGE_bay,65,0.645709917352
233,PGE_bay,66,0.0
234,PGE_bay,67,0.0
235,PGE_bay,68,0.0
236,PGE_bay,69,0.0
237,PGE_bay,70,0.0
238,PGE_bay,71,0.0
239,PGE_bay,72,0.0
240,SCE,49,0.0
241,SCE,50,0.0
242,SCE,51,0.0
243,SCE,52,0.0
244,SCE,53,0.0
245,SCE,54,0.0
246,SCE,55,0.0
247,SCE,56,274.34130351
248,SCE,57,1521.09099446
249,SCE,58,2420.21643096
250,SCE,59,2303.71532947
251,SCE,60,2373.24018036
252,SCE,61,2239.82762866
253,SCE,62,2191.91185304
254,SCE,63,1616.92254569
255,SCE,64,785.442910049
256,SCE,65,131.533501683
257,SCE,66,0.0
258,SCE,67,0.0
259,SCE,68,0.0
260,SCE,69,0.0
261,SCE,70,0.0
262,SCE,71,0.0
263,SCE,72,0.0
264,SDGE,49,0.0
265,SDGE,50,0.0
266,SDGE,51,0.0
267,SDGE,52,0.0
268,SDGE,53,0.0
269,SDGE,54,0.0
270,SDGE,55,0.0
271,SDGE,56,63.9963440733
272,SDGE,57,354.829044708
273,SDGE,58,564.570487441
