,Constraint,Time,Value
146,Bal3Constraint,27,55.37955863
147,Bal3Constraint,28,54.87180058
148,Bal3Constraint,29,54.87180058
149,Bal3Constraint,30,55.06665863
150,Bal3Constraint,31,56.10853867
151,Bal3Constraint,32,57.61086584
152,Bal3Constraint,33,57.29796584
153,Bal3Constraint,34,57.61086584
154,Bal3Constraint,35,57.29796584
155,Bal3Constraint,36,55.64775863
156,Bal3Constraint,37,55.64775863
157,Bal3Constraint,38,57.29796584
158,Bal3Constraint,39,56.03400058
159,Bal3Constraint,40,57.70870073
160,Bal3Constraint,41,60.07780073
161,Bal3Constraint,42,60.65522257
162,Bal3Constraint,43,60.65522257
163,Bal3Constraint,44,60.65522257
164,Bal3Constraint,45,60.65522257
165,Bal3Constraint,46,60.65522257
166,Bal3Constraint,47,60.65522257
167,Bal3Constraint,48,59.87518276
168,Bal4Constraint,25,67.83906584
169,Bal4Constraint,26,67.10532453
170,Bal4Constraint,27,65.33955863
171,Bal4Constraint,28,64.83180058
172,Bal4Constraint,29,64.83180058
173,Bal4Constraint,30,65.02665863
174,Bal4Constraint,31,66.06853867
175,Bal4Constraint,32,67.10532453
176,Bal4Constraint,33,67.10532453
177,Bal4Constraint,34,67.10532453
178,Bal4Constraint,35,67.10532453
179,Bal4Constraint,36,65.60775863
180,Bal4Constraint,37,65.60775863
181,Bal4Constraint,38,65.99400058
182,Bal4Constraint,39,65.99400058
183,Bal4Constraint,40,67.10532453
184,Bal4Constraint,41,70.03780073
185,Bal4Constraint,42,70.61522257
186,Bal4Constraint,43,75.29286003
187,Bal4Constraint,44,84.12595616
188,Bal4Constraint,45,77.68194914
189,Bal4Constraint,46,75.02466003
190,Bal4Constraint,47,70.61522257
191,Bal4Constraint,48,69.83518276
192,Bal1Constraint,49,52.89157734
193,Bal1Constraint,50,52.89157734
194,Bal1Constraint,51,52.89157734
195,Bal1Constraint,52,52.89157734
196,Bal1Constraint,53,52.89157734
197,Bal1Constraint,54,52.89157734
198,Bal1Constraint,55,52.89157734
199,Bal1Constraint,56,52.89157734
200,Bal1Constraint,57,52.89157734
201,Bal1Constraint,58,52.89157734
202,Bal1Constraint,59,52.89157734
203,Bal1Constraint,60,52.89157734
204,Bal1Constraint,61,52.89157734
205,Bal1Constraint,62,52.89157734
206,Bal1Constraint,63,52.89157734
207,Bal1Constraint,64,52.89157734
208,Bal1Constraint,65,52.89157734
209,Bal1Constraint,66,52.89157734
210,Bal1Constraint,67,52.89157734
211,Bal1Constraint,68,52.89157734
212,Bal1Constraint,69,52.89157734
213,Bal1Constraint,70,52.89157734
214,Bal1Constraint,71,52.89157734
215,Bal1Constraint,72,52.89157734
216,Bal2Constraint,49,52.89157734
217,Bal2Constraint,50,52.89157734
218,Bal2Constraint,51,52.89157734
219,Bal2Constraint,52,52.89157734
220,Bal2Constraint,53,52.89157734
221,Bal2Constraint,54,52.89157734
222,Bal2Constraint,55,52.89157734
223,Bal2Constraint,56,52.89157734
224,Bal2Constraint,57,52.89157734
225,Bal2Constraint,58,52.89157734
226,Bal2Constraint,59,52.89157734
227,Bal2Constraint,60,52.89157734
228,Bal2Constraint,61,52.89157734
229,Bal2Constraint,62,52.89157734
230,Bal2Constraint,63,52.89157734
231,Bal2Constraint,64,52.89157734
232,Bal2Constraint,65,52.89157734
233,Bal2Constraint,66,52.89157734
234,Bal2Constraint,67,52.89157734
235,Bal2Constraint,68,52.89157734
236,Bal2Constraint,69,52.89157734
237,Bal2Constraint,70,52.89157734
238,Bal2Constraint,71,52.89157734
239,Bal2Constraint,72,52.89157734
240,Bal3Constraint,49,58.60157734
241,Bal3Constraint,50,58.24032159
242,Bal3Constraint,51,57.87906584
243,Bal3Constraint,52,58.24032159
244,Bal3Constraint,53,58.24032159
245,Bal3Constraint,54,57.87906584
246,Bal3Constraint,55,58.60157734
247,Bal3Constraint,56,58.60157734
248,Bal3Constraint,57,58.4106867
249,Bal3Constraint,58,57.70870073
250,Bal3Constraint,59,58.24032159
251,Bal3Constraint,60,58.24032159
252,Bal3Constraint,61,58.24032159
253,Bal3Constraint,62,57.87906584
254,Bal3Constraint,63,58.60157734
255,Bal3Constraint,64,58.60157734
256,Bal3Constraint,65,58.60157734
257,Bal3Constraint,66,58.60157734
258,Bal3Constraint,67,58.60157734
259,Bal3Constraint,68,58.60157734
260,Bal3Constraint,69,58.60157734
261,Bal3Constraint,70,58.60157734
262,Bal3Constraint,71,58.60157734
263,Bal3Constraint,72,58.60157734
264,Bal4Constraint,49,68.56157734
265,Bal4Constraint,50,68.20032159
266,Bal4Constraint,51,67.83906584
267,Bal4Constraint,52,67.10532453
268,Bal4Constraint,53,67.10532453
269,Bal4Constraint,54,67.10532453
270,Bal4Constraint,55,68.56157734
271,Bal4Constraint,56,68.56157734
272,Bal4Constraint,57,68.3706867
273,Bal4Constraint,58,67.10532453
274,Bal4Constraint,59,67.10532453
275,Bal4Constraint,60,67.10532453
276,Bal4Constraint,61,68.20032159
277,Bal4Constraint,62,67.83906584
278,Bal4Constraint,63,68.56157734
279,Bal4Constraint,64,68.56157734
280,Bal4Constraint,65,68.56157734
281,Bal4Constraint,66,68.56157734
282,Bal4Constraint,67,77.95014914
283,Bal4Constraint,68,77.95014914
284,Bal4Constraint,69,77.36904914
285,Bal4Constraint,70,77.36904914
286,Bal4Constraint,71,75.29286003
287,Bal4Constraint,72,68.56157734
288,Bal1Constraint,73,58.40756055
289,Bal1Constraint,74,58.40756055
290,Bal1Constraint,75,58.40756055
291,Bal1Constraint,76,58.40756055
292,Bal1Constraint,77,58.40756055
293,Bal1Constraint,78,58.40756055
294,Bal1Constraint,79,58.40756055
295,Bal1Constraint,80,58.40756055
296,Bal1Constraint,81,58.40756055
297,Bal1Constraint,82,58.40756055
298,Bal1Constraint,83,58.40756055
299,Bal1Constraint,84,58.40756055
300,Bal1Constraint,85,58.40756055
301,Bal1Constraint,86,58.40756055
302,Bal1Constraint,87,58.40756055
303,Bal1Constraint,88,58.40756055
304,Bal1Constraint,89,58.40756055
305,Bal1Constraint,90,58.40756055
306,Bal1Constraint,91,58.40756055
307,Bal1Constraint,92,58.40756055
308,Bal1Constraint,93,58.40756055
309,Bal1Constraint,94,58.40756055
310,Bal1Constraint,95,58.40756055
311,Bal1Constraint,96,58.40756055
312,Bal2Constraint,73,58.40756055
313,Bal2Constraint,74,58.40756055
314,Bal2Constraint,75,58.40756055
315,Bal2Constraint,76,58.40756055
316,Bal2Constraint,77,58.40756055
317,Bal2Constraint,78,58.40756055
318,Bal2Constraint,79,58.40756055
319,Bal2Constraint,80,58.40756055
320,Bal2Constraint,81,58.40756055
321,Bal2Constraint,82,58.40756055
322,Bal2Constraint,83,58.40756055
323,Bal2Constraint,84,58.40756055
324,Bal2Constraint,85,58.40756055
325,Bal2Constraint,86,58.40756055
326,Bal2Constraint,87,58.40756055
327,Bal2Constraint,88,58.40756055
328,Bal2Constraint,89,58.40756055
329,Bal2Constraint,90,58.40756055
330,Bal2Constraint,91,58.40756055
331,Bal2Constraint,92,58.40756055
332,Bal2Constraint,93,58.40756055
333,Bal2Constraint,94,58.40756055
334,Bal2Constraint,95,58.40756055
335,Bal2Constraint,96,58.40756055
336,Bal3Constraint,73,64.11756055
337,Bal3Constraint,74,57.61086584
338,Bal3Constraint,75,57.14532453
339,Bal3Constraint,76,57.14532453
340,Bal3Constraint,77,57.14532453
341,Bal3Constraint,78,57.14532453
342,Bal3Constraint,79,58.91560073
343,Bal3Constraint,80,64.11756055
344,Bal3Constraint,81,64.11756055
345,Bal3Constraint,82,64.11756055
346,Bal3Constraint,83,64.11756055
347,Bal3Constraint,84,60.07780073
348,Bal3Constraint,85,58.91560073
349,Bal3Constraint,86,60.07780073
350,Bal3Constraint,87,60.63688193
351,Bal3Constraint,88,64.11756055
352,Bal3Constraint,89,64.11756055
353,Bal3Constraint,90,64.11756055
354,Bal3Constraint,91,64.11756055
355,Bal3Constraint,92,64.11756055
356,Bal3Constraint,93,64.11756055
357,Bal3Constraint,94,64.11756055
358,Bal3Constraint,95,64.11756055
359,Bal3Constraint,96,64.11756055
360,Bal4Constraint,73,74.07756055
361,Bal4Constraint,74,67.57086584
362,Bal4Constraint,75,67.10532453
363,Bal4Constraint,76,67.10532453
364,Bal4Constraint,77,67.10532453
365,Bal4Constraint,78,67.10532453
366,Bal4Constraint,79,68.87560073
367,Bal4Constraint,80,74.07756055
368,Bal4Constraint,81,74.07756055
369,Bal4Constraint,82,74.07756055
370,Bal4Constraint,83,74.07756055
371,Bal4Constraint,84,70.03780073
372,Bal4Constraint,85,68.87560073
373,Bal4Constraint,86,70.03780073
374,Bal4Constraint,87,70.59688193
375,Bal4Constraint,88,74.07756055
376,Bal4Constraint,89,74.07756055
377,Bal4Constraint,90,74.07756055
378,Bal4Constraint,91,75.29286003
379,Bal4Constraint,92,75.02466003
380,Bal4Constraint,93,74.71176003
381,Bal4Constraint,94,75.02466003
382,Bal4Constraint,95,74.11806081
383,Bal4Constraint,96,74.07756055
384,Bal1Constraint,97,57.70625841
385,Bal1Constraint,98,57.70625841
386,Bal1Constraint,99,57.70625841
387,Bal1Constraint,100,57.70625841
388,Bal1Constraint,101,57.70625841
389,Bal1Constraint,102,57.70625841
390,Bal1Constraint,103,57.70625841
391,Bal1Constraint,104,57.70625841
392,Bal1Constraint,105,57.70625841
393,Bal1Constraint,106,57.70625841
394,Bal1Constraint,107,57.70625841
395,Bal1Constraint,108,57.70625841
396,Bal1Constraint,109,57.70625841
397,Bal1Constraint,110,57.70625841
398,Bal1Constraint,111,57.70625841
399,Bal1Constraint,112,57.70625841
400,Bal1Constraint,113,57.70625841
401,Bal1Constraint,114,57.70625841
402,Bal1Constraint,115,57.70625841
403,Bal1Constraint,116,57.70625841
404,Bal1Constraint,117,57.70625841
405,Bal1Constraint,118,57.70625841
406,Bal1Constraint,119,57.70625841
407,Bal1Constraint,120,57.70625841
408,Bal2Constraint,97,57.70625841
409,Bal2Constraint,98,57.70625841
410,Bal2Constraint,99,57.70625841
411,Bal2Constraint,100,57.70625841
412,Bal2Constraint,101,57.70625841
413,Bal2Constraint,102,57.70625841
414,Bal2Constraint,103,57.70625841
415,Bal2Constraint,104,57.70625841
416,Bal2Constraint,105,57.70625841
417,Bal2Constraint,106,57.70625841
418,Bal2Constraint,107,57.70625841
419,Bal2Constraint,108,57.70625841
420,Bal2Constraint,109,57.70625841
421,Bal2Constraint,110,57.70625841
422,Bal2Constraint,111,57.70625841
423,Bal2Constraint,112,57.70625841
424,Bal2Constraint,113,57.70625841
425,Bal2Constraint,114,57.70625841
426,Bal2Constraint,115,57.70625841
427,Bal2Constraint,116,57.70625841
428,Bal2Constraint,117,57.70625841
429,Bal2Constraint,118,57.70625841
430,Bal2Constraint,119,57.70625841
431,Bal2Constraint,120,57.70625841
432,Bal3Constraint,97,58.91560073
433,Bal3Constraint,98,57.70870073
434,Bal3Constraint,99,57.5905898225
435,Bal3Constraint,100,57.5905898225
436,Bal3Constraint,101,57.5905898225
437,Bal3Constraint,102,57.5905898225
438,Bal3Constraint,103,57.87906584
439,Bal3Constraint,104,58.74523562
440,Bal3Constraint,105,58.31215073
441,Bal3Constraint,106,57.55078276
442,Bal3Constraint,107,56.9088359775
443,Bal3Constraint,108,57.5905898225
444,Bal3Constraint,109,57.29796584
445,Bal3Constraint,110,57.55078276
446,Bal3Constraint,111,55.58845127
447,Bal3Constraint,112,57.14532453
448,Bal3Constraint,113,60.07780073
449,Bal3Constraint,114,61.19839436
450,Bal3Constraint,115,63.41625841
451,Bal3Constraint,116,63.41625841
452,Bal3Constraint,117,63.41625841
453,Bal3Constraint,118,63.41625841
454,Bal3Constraint,119,63.41625841
455,Bal3Constraint,120,58.31215073
456,Bal4Constraint,97,68.87560073
457,Bal4Constraint,98,67.66870073
458,Bal4Constraint,99,67.5505898225
459,Bal4Constraint,100,67.5505898225
460,Bal4Constraint,101,67.5505898225
461,Bal4Constraint,102,67.5505898225
462,Bal4Constraint,103,67.83906584
463,Bal4Constraint,104,68.70523562
464,Bal4Constraint,105,68.27215073
465,Bal4Constraint,106,67.51078276
466,Bal4Constraint,107,66.8688359775
467,Bal4Constraint,108,67.10532453
468,Bal4Constraint,109,65.99400058
469,Bal4Constraint,110,65.99400058
470,Bal4Constraint,111,65.54845127
471,Bal4Constraint,112,67.10532453
472,Bal4Constraint,113,70.03780073
473,Bal4Constraint,114,74.71176003
