,PGE_valley,SCE
0,26503.487781527892,0.0
1,31985.073383708233,2690.4149322598205
2,19112.75404753954,0.0
3,12316.770679679827,0.0
4,16857.49289490892,1548.2104176158805
5,8784.687709186768,0.0
6,25994.5255214377,0.0
7,12948.901407550304,340.40330894112526
8,14125.22704996476,1832.8371966600898
9,20180.55445271758,0.0
10,14259.347981596817,0.0
11,9960.779459806268,2381.1247372768726
12,17060.284740029947,106.80598594015464
13,13810.20265709408,0.0
14,9261.952593484464,0.0
15,11291.800191303126,1477.6281379551424
16,8339.488652362095,0.0
17,15631.480191117971,1255.545430129338
18,11444.81485129569,0.0
19,9052.099775791796,0.0
20,11643.196194109743,0.0
21,13225.676555260245,0.0
22,6151.150890791221,0.0
23,8727.179572437779,464.2773150916976
24,8605.16912230377,0.0
25,8313.51164084983,4725.637099442505
26,12935.196520013167,0.0
27,11047.170662983228,0.0
28,11851.504267123948,917.2046207244207
29,12958.437699181457,0.0
30,16805.50264708539,0.0
31,16365.09074030386,4095.602045241004
32,16017.437002382881,4028.5913962357354
33,22205.952581540263,1745.1188852233245
34,22203.80848408224,4494.091153504611
35,23854.540330791966,0.0
36,22047.26825916114,1675.1625003836255
37,19491.043796069964,205.99711177086556
38,23465.160291169246,0.0
39,22251.961196256052,0.0
40,29488.19229596952,0.0
41,25547.24287611461,1343.0018277255965
42,24335.72696270539,53.11260342389323
43,30775.78657663104,0.0
44,31189.15550406452,0.0
45,36672.39640878686,0.0
46,40166.16937478179,1089.1595915013522
47,39651.15964829916,660.6415604197337
48,41995.51912423381,0.0
49,38771.46631630855,1949.7014363106186
50,43822.16598240625,0.0
51,45794.889060631074,1081.4927099869278
52,38343.24609740309,0.0
53,35392.87325233972,790.0599239182034
54,51083.7248782913,204.55646968608676
55,43723.64596289002,4310.765500041687
56,50587.07889502854,0.0
57,52771.0155609847,8226.80026530482
58,53657.15605334239,5837.95108653189
59,51502.45134714262,5122.07518719427
60,49764.821876531336,5102.519237749482
61,55240.745550123924,11077.403446893957
62,53172.72292595823,7829.3157352649505
63,67236.31020465032,3810.866363864177
64,65177.299508313925,10545.629564102099
65,75158.84906278142,8203.982191459196
66,66605.01994134088,11090.384825027446
67,63202.168133678555,11296.833601724038
68,78037.96400597408,8789.575043514124
69,76859.56495260987,7030.729120933254
70,72051.83571930922,7020.377979720297
71,82559.41479194768,9525.860461635333
72,82403.9345191987,8090.925833426993
73,81386.33122351705,5403.760118348073
74,80179.93348356121,6394.311024389289
75,81260.1942532066,8399.340385070158
76,83131.41811105881,6591.252382912655
77,80442.83641780214,7445.28272968739
78,87185.22743365417,9238.708442639778
79,77938.34049925185,7145.846865221238
80,78739.82385203644,4431.359101330526
81,78986.4352539942,5419.005325924039
82,83800.66212102662,1470.5518944774894
83,80833.15227960856,1645.744780747811
84,79197.26765192032,3626.967317064971
85,87913.24580313193,5685.07712386288
86,80200.30640959257,4203.916442587463
87,77487.7758614512,5710.441961105486
88,90272.63929057724,0.0
89,83093.72690975902,6046.810952688847
90,85047.3613293161,4770.669397454114
91,76738.48952705183,8357.10053269874
92,83536.36098148217,6993.979571224111
93,81084.55364112055,7915.411663379689
94,76241.88753500793,2820.0507311881474
95,76169.78097386335,3005.662522480384
96,83459.95292849003,8249.45768363358
97,72602.987995536,0.0
98,59975.526388206985,1691.1273790269715
99,63990.93807973141,3685.2368821396794
100,65849.05935125668,6654.993754075613
101,56720.43974485642,5874.307497550211
102,58060.38577093609,9579.681683923853
103,57265.57760461853,8080.0783936315365
104,59900.941603205865,4020.0484131389985
105,61255.519432548295,3814.8149742552287
106,55042.98936755974,4514.717890631977
107,55347.514161981686,12392.143806328899
108,64080.84362048014,9530.796900455964
109,55272.23228009103,4999.95808320303
110,60538.616475030125,9846.175156334963
111,65278.37092650348,8791.96921620447
112,54076.38934871169,7526.539086265236
113,55367.33893804156,8355.28004315313
114,54569.635582981806,6903.057779874076
115,56494.11029415418,164.14338368928293
116,58889.59537301317,3793.790261900157
117,59773.70453196611,9736.464184133747
118,60291.458790891156,5260.469696039527
119,62691.5576610228,8134.1874614037515
120,61110.643479010854,525.3817570629126
121,54731.40719397568,2547.708975778609
122,54895.48639577974,6923.016094305238
123,54408.18749934731,0.0
124,57607.37103438223,0.0
125,58422.0777605475,3569.878304102056
126,57463.427455683806,0.0
127,56033.11086488706,3028.4576558838144
128,55669.21553739444,6693.745187992292
129,64916.491008931494,6115.108460770316
130,58914.956444502976,6533.934769629159
131,61459.16689928984,12057.049782977923
132,60772.931087820776,6501.998325031884
133,60127.97738280862,5289.433543515264
134,63971.58657106034,6372.953422254082
135,60329.78187311532,5490.605756767847
136,65865.46834800029,10200.559799452363
137,68005.53843803173,11890.457995739598
138,63470.86263380496,7960.318361175225
139,59379.548010058716,10118.62294454456
140,60436.04532555981,10455.54198712534
141,63680.11703060346,14187.62692496737
142,61770.538257195236,10673.214601689255
143,63960.32131269413,8811.521032231409
144,55505.553038326456,11720.711402763081
145,63746.98079656493,15747.543794938636
146,58999.681974491265,12039.083687243525
147,50570.27852731016,5302.49520578314
