,Generator,Time,Value,Zones
126,ALDEN_BAILEY_LOKI,7,-0.0,PNW
127,ALDEN_BAILEY_LOKI,8,-0.0,PNW
128,ALDEN_BAILEY_LOKI,9,-0.0,PNW
129,ALDEN_BAILEY_LOKI,10,-0.0,PNW
130,ALDEN_BAILEY_LOKI,11,-0.0,PNW
131,ALDEN_BAILEY_LOKI,12,-0.0,PNW
132,ALDEN_BAILEY_LOKI,13,-0.0,PNW
133,ALDEN_BAILEY_LOKI,14,-0.0,PNW
134,ALDEN_BAILEY_LOKI,15,-0.0,PNW
135,ALDEN_BAILEY_LOKI,16,-0.0,PNW
136,ALDEN_BAILEY_LOKI,17,-0.0,PNW
137,ALDEN_BAILEY_LOKI,18,-0.0,PNW
138,ALDEN_BAILEY_LOKI,19,-0.0,PNW
139,ALDEN_BAILEY_LOKI,20,-0.0,PNW
140,ALDEN_BAILEY_LOKI,21,-0.0,PNW
141,ALDEN_BAILEY_LOKI,22,-0.0,PNW
142,ALDEN_BAILEY_LOKI,23,-0.0,PNW
143,ALDEN_BAILEY_LOKI,24,-0.0,PNW
144,BEAVER_1,1,-0.0,PNW
145,BEAVER_1,2,-0.0,PNW
146,BEAVER_1,3,-0.0,PNW
147,BEAVER_1,4,-0.0,PNW
148,BEAVER_1,5,-0.0,PNW
149,BEAVER_1,6,-0.0,PNW
150,BEAVER_1,7,-0.0,PNW
151,BEAVER_1,8,-0.0,PNW
152,BEAVER_1,9,-0.0,PNW
153,BEAVER_1,10,-0.0,PNW
154,BEAVER_1,11,-0.0,PNW
155,BEAVER_1,12,-0.0,PNW
156,BEAVER_1,13,-0.0,PNW
157,BEAVER_1,14,-0.0,PNW
158,BEAVER_1,15,-0.0,PNW
159,BEAVER_1,16,-0.0,PNW
160,BEAVER_1,17,-0.0,PNW
161,BEAVER_1,18,-0.0,PNW
162,BEAVER_1,19,-0.0,PNW
163,BEAVER_1,20,-0.0,PNW
164,BEAVER_1,21,-0.0,PNW
165,BEAVER_1,22,-0.0,PNW
166,BEAVER_1,23,-0.0,PNW
167,BEAVER_1,24,-0.0,PNW
168,BEAVER_2,1,-0.0,PNW
169,BEAVER_2,2,-0.0,PNW
170,BEAVER_2,3,-0.0,PNW
