,Generator,Time,Value,Zones
94,ELKHIL_2_PL1X3,23,0.0,PGE_valley
95,ELKHIL_2_PL1X3,24,0.0,PGE_valley
96,CALPIN_1_AGNEW,1,0.0,PGE_valley
97,CALPIN_1_AGNEW,2,0.0,PGE_valley
98,CALPIN_1_AGNEW,3,0.0,PGE_valley
99,CALPIN_1_AGNEW,4,0.0,PGE_valley
100,CALPIN_1_AGNEW,5,0.0,PGE_valley
101,CALPIN_1_AGNEW,6,0.0,PGE_valley
102,CALPIN_1_AGNEW,7,0.0,PGE_valley
103,CALPIN_1_AGNEW,8,0.0,PGE_valley
104,CALPIN_1_AGNEW,9,0.0,PGE_valley
105,CALPIN_1_AGNEW,10,0.0,PGE_valley
106,CALPIN_1_AGNEW,11,0.0,PGE_valley
107,CALPIN_1_AGNEW,12,0.0,PGE_valley
108,CALPIN_1_AGNEW,13,0.0,PGE_valley
109,CALPIN_1_AGNEW,14,0.0,PGE_valley
110,CALPIN_1_AGNEW,15,0.0,PGE_valley
111,CALPIN_1_AGNEW,16,0.0,PGE_valley
112,CALPIN_1_AGNEW,17,0.0,PGE_valley
113,CALPIN_1_AGNEW,18,0.0,PGE_valley
114,CALPIN_1_AGNEW,19,0.0,PGE_valley
115,CALPIN_1_AGNEW,20,0.0,PGE_valley
116,CALPIN_1_AGNEW,21,0.0,PGE_valley
117,CALPIN_1_AGNEW,22,0.0,PGE_valley
118,CALPIN_1_AGNEW,23,0.0,PGE_valley
119,CALPIN_1_AGNEW,24,0.0,PGE_valley
120,MALAGA_1_PL1X2,1,0.0,PGE_valley
121,MALAGA_1_PL1X2,2,0.0,PGE_valley
122,MALAGA_1_PL1X2,3,0.0,PGE_valley
123,MALAGA_1_PL1X2,4,0.0,PGE_valley
124,MALAGA_1_PL1X2,5,0.0,PGE_valley
125,MALAGA_1_PL1X2,6,0.0,PGE_valley
126,MALAGA_1_PL1X2,7,0.0,PGE_valley
127,MALAGA_1_PL1X2,8,0.0,PGE_valley
128,MALAGA_1_PL1X2,9,0.0,PGE_valley
129,MALAGA_1_PL1X2,10,0.0,PGE_valley
130,MALAGA_1_PL1X2,11,0.0,PGE_valley
131,MALAGA_1_PL1X2,12,0.0,PGE_valley
132,MALAGA_1_PL1X2,13,0.0,PGE_valley
133,MALAGA_1_PL1X2,14,0.0,PGE_valley
134,MALAGA_1_PL1X2,15,0.0,PGE_valley
135,MALAGA_1_PL1X2,16,0.0,PGE_valley
136,MALAGA_1_PL1X2,17,0.0,PGE_valley
137,MALAGA_1_PL1X2,18,0.0,PGE_valley
138,MALAGA_1_PL1X2,19,0.0,PGE_valley
139,MALAGA_1_PL1X2,20,0.0,PGE_valley
140,MALAGA_1_PL1X2,21,0.0,PGE_valley
141,MALAGA_1_PL1X2,22,0.0,PGE_valley
142,MALAGA_1_PL1X2,23,0.0,PGE_valley
143,MALAGA_1_PL1X2,24,0.0,PGE_valley
144,CHEVCO_6_UNIT_2,1,0.0,PGE_valley
145,CHEVCO_6_UNIT_2,2,0.0,PGE_valley
146,CHEVCO_6_UNIT_2,3,0.0,PGE_valley
147,CHEVCO_6_UNIT_2,4,0.0,PGE_valley
148,CHEVCO_6_UNIT_2,5,0.0,PGE_valley
149,CHEVCO_6_UNIT_2,6,0.0,PGE_valley
150,CHEVCO_6_UNIT_2,7,0.0,PGE_valley
151,CHEVCO_6_UNIT_2,8,0.0,PGE_valley
152,CHEVCO_6_UNIT_2,9,0.0,PGE_valley
153,CHEVCO_6_UNIT_2,10,0.0,PGE_valley
154,CHEVCO_6_UNIT_2,11,0.0,PGE_valley
155,CHEVCO_6_UNIT_2,12,0.0,PGE_valley
156,CHEVCO_6_UNIT_2,13,0.0,PGE_valley
157,CHEVCO_6_UNIT_2,14,0.0,PGE_valley
158,CHEVCO_6_UNIT_2,15,0.0,PGE_valley
159,CHEVCO_6_UNIT_2,16,0.0,PGE_valley
160,CHEVCO_6_UNIT_2,17,0.0,PGE_valley
161,CHEVCO_6_UNIT_2,18,0.0,PGE_valley
162,CHEVCO_6_UNIT_2,19,0.0,PGE_valley
163,CHEVCO_6_UNIT_2,20,0.0,PGE_valley
164,CHEVCO_6_UNIT_2,21,0.0,PGE_valley
165,CHEVCO_6_UNIT_2,22,0.0,PGE_valley
166,CHEVCO_6_UNIT_2,23,0.0,PGE_valley
167,CHEVCO_6_UNIT_2,24,0.0,PGE_valley
168,MISSIX_1_QF,1,0.0,PGE_valley
169,MISSIX_1_QF,2,0.0,PGE_valley
170,MISSIX_1_QF,3,0.0,PGE_valley
171,MISSIX_1_QF,4,0.0,PGE_valley
172,MISSIX_1_QF,5,0.0,PGE_valley
173,MISSIX_1_QF,6,0.0,PGE_valley
174,MISSIX_1_QF,7,0.0,PGE_valley
175,MISSIX_1_QF,8,0.0,PGE_valley
176,MISSIX_1_QF,9,0.0,PGE_valley
177,MISSIX_1_QF,10,0.0,PGE_valley
178,MISSIX_1_QF,11,0.0,PGE_valley
179,MISSIX_1_QF,12,0.0,PGE_valley
180,MISSIX_1_QF,13,0.0,PGE_valley
181,MISSIX_1_QF,14,0.0,PGE_valley
182,MISSIX_1_QF,15,0.0,PGE_valley
183,MISSIX_1_QF,16,0.0,PGE_valley
184,MISSIX_1_QF,17,0.0,PGE_valley
185,MISSIX_1_QF,18,0.0,PGE_valley
186,MISSIX_1_QF,19,0.0,PGE_valley
187,MISSIX_1_QF,20,0.0,PGE_valley
188,MISSIX_1_QF,21,0.0,PGE_valley
189,MISSIX_1_QF,22,0.0,PGE_valley
190,MISSIX_1_QF,23,0.0,PGE_valley
191,MISSIX_1_QF,24,0.0,PGE_valley
192,CLRMTK_1_QF,1,0.0,PGE_valley
193,CLRMTK_1_QF,2,0.0,PGE_valley
194,CLRMTK_1_QF,3,0.0,PGE_valley
195,CLRMTK_1_QF,4,0.0,PGE_valley
196,CLRMTK_1_QF,5,0.0,PGE_valley
197,CLRMTK_1_QF,6,0.0,PGE_valley
198,CLRMTK_1_QF,7,0.0,PGE_valley
199,CLRMTK_1_QF,8,0.0,PGE_valley
200,CLRMTK_1_QF,9,0.0,PGE_valley
201,CLRMTK_1_QF,10,0.0,PGE_valley
202,CLRMTK_1_QF,11,0.0,PGE_valley
203,CLRMTK_1_QF,12,0.0,PGE_valley
204,CLRMTK_1_QF,13,0.0,PGE_valley
205,CLRMTK_1_QF,14,0.0,PGE_valley
206,CLRMTK_1_QF,15,0.0,PGE_valley
207,CLRMTK_1_QF,16,0.0,PGE_valley
208,CLRMTK_1_QF,17,0.0,PGE_valley
209,CLRMTK_1_QF,18,0.0,PGE_valley
210,CLRMTK_1_QF,19,0.0,PGE_valley
211,CLRMTK_1_QF,20,0.0,PGE_valley
212,CLRMTK_1_QF,21,0.0,PGE_valley
213,CLRMTK_1_QF,22,0.0,PGE_valley
214,CLRMTK_1_QF,23,0.0,PGE_valley
215,CLRMTK_1_QF,24,0.0,PGE_valley
216,BASICE_2_UNITS,1,0.0,PGE_valley
217,BASICE_2_UNITS,2,0.0,PGE_valley
218,BASICE_2_UNITS,3,0.0,PGE_valley
219,BASICE_2_UNITS,4,0.0,PGE_valley
220,BASICE_2_UNITS,5,0.0,PGE_valley
221,BASICE_2_UNITS,6,0.0,PGE_valley
222,BASICE_2_UNITS,7,0.0,PGE_valley
223,BASICE_2_UNITS,8,0.0,PGE_valley
224,BASICE_2_UNITS,9,0.0,PGE_valley
225,BASICE_2_UNITS,10,0.0,PGE_valley
226,BASICE_2_UNITS,11,0.0,PGE_valley
227,BASICE_2_UNITS,12,0.0,PGE_valley
228,BASICE_2_UNITS,13,0.0,PGE_valley
229,BASICE_2_UNITS,14,0.0,PGE_valley
230,BASICE_2_UNITS,15,0.0,PGE_valley
231,BASICE_2_UNITS,16,0.0,PGE_valley
232,BASICE_2_UNITS,17,0.0,PGE_valley
233,BASICE_2_UNITS,18,0.0,PGE_valley
234,BASICE_2_UNITS,19,0.0,PGE_valley
235,BASICE_2_UNITS,20,0.0,PGE_valley
236,BASICE_2_UNITS,21,0.0,PGE_valley
237,BASICE_2_UNITS,22,0.0,PGE_valley
238,BASICE_2_UNITS,23,0.0,PGE_valley
239,BASICE_2_UNITS,24,0.0,PGE_valley
240,AGRICO_7_UNIT,1,0.0,PGE_valley
241,AGRICO_7_UNIT,2,0.0,PGE_valley
242,AGRICO_7_UNIT,3,0.0,PGE_valley
243,AGRICO_7_UNIT,4,0.0,PGE_valley
244,AGRICO_7_UNIT,5,0.0,PGE_valley
245,AGRICO_7_UNIT,6,0.0,PGE_valley
246,AGRICO_7_UNIT,7,0.0,PGE_valley
247,AGRICO_7_UNIT,8,0.0,PGE_valley
