,Source,Sink,Time,Value
127,PGE_bay,PGE_bay,8,0.0
128,PGE_bay,PGE_bay,9,0.0
129,PGE_bay,PGE_bay,10,0.0
130,PGE_bay,PGE_bay,11,0.0
131,PGE_bay,PGE_bay,12,0.0
132,PGE_bay,PGE_bay,13,0.0
133,PGE_bay,PGE_bay,14,0.0
134,PGE_bay,PGE_bay,15,0.0
135,PGE_bay,PGE_bay,16,0.0
136,PGE_bay,PGE_bay,17,0.0
137,PGE_bay,PGE_bay,18,0.0
138,PGE_bay,PGE_bay,19,0.0
139,PGE_bay,PGE_bay,20,0.0
140,PGE_bay,PGE_bay,21,0.0
141,PGE_bay,PGE_bay,22,0.0
142,PGE_bay,PGE_bay,23,0.0
143,PGE_bay,PGE_bay,24,0.0
144,PGE_bay,SCE,1,0.0
145,PGE_bay,SCE,2,0.0
146,PGE_bay,SCE,3,0.0
147,PGE_bay,SCE,4,0.0
148,PGE_bay,SCE,5,0.0
149,PGE_bay,SCE,6,0.0
150,PGE_bay,SCE,7,0.0
151,PGE_bay,SCE,8,0.0
152,PGE_bay,SCE,9,0.0
153,PGE_bay,SCE,10,0.0
154,PGE_bay,SCE,11,0.0
155,PGE_bay,SCE,12,0.0
156,PGE_bay,SCE,13,0.0
157,PGE_bay,SCE,14,0.0
158,PGE_bay,SCE,15,0.0
159,PGE_bay,SCE,16,0.0
160,PGE_bay,SCE,17,0.0
161,PGE_bay,SCE,18,0.0
162,PGE_bay,SCE,19,0.0
163,PGE_bay,SCE,20,0.0
164,PGE_bay,SCE,21,0.0
165,PGE_bay,SCE,22,0.0
166,PGE_bay,SCE,23,0.0
167,PGE_bay,SCE,24,0.0
168,PGE_bay,SDGE,1,0.0
169,PGE_bay,SDGE,2,0.0
170,PGE_bay,SDGE,3,0.0
171,PGE_bay,SDGE,4,0.0
172,PGE_bay,SDGE,5,0.0
173,PGE_bay,SDGE,6,0.0
174,PGE_bay,SDGE,7,0.0
175,PGE_bay,SDGE,8,0.0
176,PGE_bay,SDGE,9,0.0
177,PGE_bay,SDGE,10,0.0
178,PGE_bay,SDGE,11,0.0
179,PGE_bay,SDGE,12,0.0
180,PGE_bay,SDGE,13,0.0
181,PGE_bay,SDGE,14,0.0
182,PGE_bay,SDGE,15,0.0
183,PGE_bay,SDGE,16,0.0
184,PGE_bay,SDGE,17,0.0
185,PGE_bay,SDGE,18,0.0
186,PGE_bay,SDGE,19,0.0
187,PGE_bay,SDGE,20,0.0
188,PGE_bay,SDGE,21,0.0
189,PGE_bay,SDGE,22,0.0
190,PGE_bay,SDGE,23,0.0
191,PGE_bay,SDGE,24,0.0
192,SCE,PGE_valley,1,0.0
193,SCE,PGE_valley,2,0.0
194,SCE,PGE_valley,3,0.0
195,SCE,PGE_valley,4,0.0
196,SCE,PGE_valley,5,0.0
197,SCE,PGE_valley,6,0.0
198,SCE,PGE_valley,7,0.0
199,SCE,PGE_valley,8,0.0
200,SCE,PGE_valley,9,0.0
201,SCE,PGE_valley,10,0.0
202,SCE,PGE_valley,11,0.0
203,SCE,PGE_valley,12,0.0
204,SCE,PGE_valley,13,0.0
205,SCE,PGE_valley,14,0.0
206,SCE,PGE_valley,15,0.0
207,SCE,PGE_valley,16,0.0
208,SCE,PGE_valley,17,0.0
209,SCE,PGE_valley,18,0.0
210,SCE,PGE_valley,19,0.0
211,SCE,PGE_valley,20,0.0
212,SCE,PGE_valley,21,0.0
213,SCE,PGE_valley,22,0.0
214,SCE,PGE_valley,23,0.0
215,SCE,PGE_valley,24,0.0
216,SCE,PGE_bay,1,0.0
217,SCE,PGE_bay,2,0.0
218,SCE,PGE_bay,3,0.0
219,SCE,PGE_bay,4,0.0
220,SCE,PGE_bay,5,0.0
221,SCE,PGE_bay,6,0.0
222,SCE,PGE_bay,7,0.0
223,SCE,PGE_bay,8,0.0
224,SCE,PGE_bay,9,0.0
225,SCE,PGE_bay,10,0.0
226,SCE,PGE_bay,11,0.0
227,SCE,PGE_bay,12,0.0
228,SCE,PGE_bay,13,0.0
229,SCE,PGE_bay,14,0.0
230,SCE,PGE_bay,15,0.0
231,SCE,PGE_bay,16,0.0
232,SCE,PGE_bay,17,0.0
233,SCE,PGE_bay,18,0.0
234,SCE,PGE_bay,19,0.0
235,SCE,PGE_bay,20,0.0
236,SCE,PGE_bay,21,0.0
237,SCE,PGE_bay,22,0.0
238,SCE,PGE_bay,23,0.0
239,SCE,PGE_bay,24,0.0
240,SCE,SCE,1,0.0
241,SCE,SCE,2,0.0
242,SCE,SCE,3,0.0
243,SCE,SCE,4,0.0
244,SCE,SCE,5,0.0
245,SCE,SCE,6,0.0
246,SCE,SCE,7,0.0
247,SCE,SCE,8,0.0
248,SCE,SCE,9,0.0
249,SCE,SCE,10,0.0
250,SCE,SCE,11,0.0
251,SCE,SCE,12,0.0
252,SCE,SCE,13,0.0
253,SCE,SCE,14,0.0
254,SCE,SCE,15,0.0
255,SCE,SCE,16,0.0
256,SCE,SCE,17,0.0
257,SCE,SCE,18,0.0
258,SCE,SCE,19,0.0
259,SCE,SCE,20,0.0
260,SCE,SCE,21,0.0
261,SCE,SCE,22,0.0
262,SCE,SCE,23,0.0
263,SCE,SCE,24,0.0
264,SCE,SDGE,1,0.0
265,SCE,SDGE,2,0.0
266,SCE,SDGE,3,0.0
267,SCE,SDGE,4,0.0
268,SCE,SDGE,5,0.0
269,SCE,SDGE,6,0.0
270,SCE,SDGE,7,0.0
271,SCE,SDGE,8,0.0
272,SCE,SDGE,9,0.0
273,SCE,SDGE,10,0.0
274,SCE,SDGE,11,0.0
275,SCE,SDGE,12,0.0
276,SCE,SDGE,13,0.0
277,SCE,SDGE,14,0.0
278,SCE,SDGE,15,0.0
279,SCE,SDGE,16,0.0
280,SCE,SDGE,17,0.0
281,SCE,SDGE,18,0.0
282,SCE,SDGE,19,153.12744220780232
283,SCE,SDGE,20,174.81533415143278
284,SCE,SDGE,21,28.847066481099205
285,SCE,SDGE,22,72.51613845063366
286,SCE,SDGE,23,33.25017922402196
287,SCE,SDGE,24,0.0
288,SDGE,PGE_valley,1,0.0
289,SDGE,PGE_valley,2,0.0
290,SDGE,PGE_valley,3,0.0
291,SDGE,PGE_valley,4,0.0
292,SDGE,PGE_valley,5,0.0
293,SDGE,PGE_valley,6,0.0
294,SDGE,PGE_valley,7,0.0
295,SDGE,PGE_valley,8,0.0
296,SDGE,PGE_valley,9,0.0
297,SDGE,PGE_valley,10,0.0
298,SDGE,PGE_valley,11,0.0
299,SDGE,PGE_valley,12,0.0
300,SDGE,PGE_valley,13,0.0
301,SDGE,PGE_valley,14,0.0
302,SDGE,PGE_valley,15,0.0
303,SDGE,PGE_valley,16,0.0
304,SDGE,PGE_valley,17,0.0
305,SDGE,PGE_valley,18,0.0
306,SDGE,PGE_valley,19,0.0
307,SDGE,PGE_valley,20,0.0
308,SDGE,PGE_valley,21,0.0
309,SDGE,PGE_valley,22,0.0
310,SDGE,PGE_valley,23,0.0
311,SDGE,PGE_valley,24,0.0
312,SDGE,PGE_bay,1,0.0
313,SDGE,PGE_bay,2,0.0
314,SDGE,PGE_bay,3,0.0
315,SDGE,PGE_bay,4,0.0
316,SDGE,PGE_bay,5,0.0
317,SDGE,PGE_bay,6,0.0
318,SDGE,PGE_bay,7,0.0
319,SDGE,PGE_bay,8,0.0
320,SDGE,PGE_bay,9,0.0
321,SDGE,PGE_bay,10,0.0
322,SDGE,PGE_bay,11,0.0
323,SDGE,PGE_bay,12,0.0
324,SDGE,PGE_bay,13,0.0
325,SDGE,PGE_bay,14,0.0
326,SDGE,PGE_bay,15,0.0
327,SDGE,PGE_bay,16,0.0
328,SDGE,PGE_bay,17,0.0
329,SDGE,PGE_bay,18,0.0
330,SDGE,PGE_bay,19,0.0
331,SDGE,PGE_bay,20,0.0
332,SDGE,PGE_bay,21,0.0
333,SDGE,PGE_bay,22,0.0
334,SDGE,PGE_bay,23,0.0
335,SDGE,PGE_bay,24,0.0
336,SDGE,SCE,1,0.0
337,SDGE,SCE,2,0.0
338,SDGE,SCE,3,0.0
339,SDGE,SCE,4,0.0
340,SDGE,SCE,5,0.0
341,SDGE,SCE,6,0.0
342,SDGE,SCE,7,0.0
343,SDGE,SCE,8,0.0
344,SDGE,SCE,9,0.0
345,SDGE,SCE,10,0.0
346,SDGE,SCE,11,0.0
347,SDGE,SCE,12,0.0
348,SDGE,SCE,13,0.0
349,SDGE,SCE,14,0.0
350,SDGE,SCE,15,0.0
351,SDGE,SCE,16,0.0
352,SDGE,SCE,17,0.0
353,SDGE,SCE,18,0.0
354,SDGE,SCE,19,0.0
355,SDGE,SCE,20,0.0
356,SDGE,SCE,21,0.0
357,SDGE,SCE,22,0.0
358,SDGE,SCE,23,0.0
359,SDGE,SCE,24,0.0
360,SDGE,SDGE,1,0.0
361,SDGE,SDGE,2,0.0
362,SDGE,SDGE,3,0.0
363,SDGE,SDGE,4,0.0
